X,Y,X,Y,NRO,RAMO_O_C,TIPO,DATOS,IMAGEN,NROCOMP,CANAL,CODIGOCOMP,RAMO,CALLE,CANAL_PPAL,OBSERVACIO,icon_url
-68.351198,-31.738455,"2561571","6489138","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0289.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.351636,-31.74109,"2561500","6488838","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0290.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.348709,-31.727638,"2561814","6490336","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0273.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.351198,-31.738455,"2561571","6489138","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0273.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.354493,-31.753084,"2561266","6487483","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0325.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.354469,-31.75282,"2561246","6487561","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0326.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.355915,-31.758337,"2561111","6486936","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0327.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.357092,-31.763658,"2560981","6486327","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0328.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.357068,-31.763795,"2560986","6486324","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0329.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
-68.358774,-31.770761,"2560832","6485560","0",Desde Canal Gral. 25 de Mayo,,,e:\hidraulica\compuertas-ramos\25 de mayo\canal gral. 25 de mayo\000_0330.gif,,"58","0",,Calle 16,Canal Gral. 25 de M,,
